customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,order_id,payment,order_date,delivery_date,difference,order_year,order_month,order_day,order_day_name,delivery_year,delivery_month,delivery_day,delivery_day_name,sales_id,product_id,price_per_unit,Required_quantity,total_price,category,product_name,size,color,price,Total_quantity,description
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2021-04-04,2021-04-06,2 days,2021,4,4,Sunday,2021,4,6,Tuesday,2245,211,106,3,318,Shirt,Chambray,S,red,105,72,"A red coloured, S sized, Chambray Shirt"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2021-04-04,2021-04-06,2 days,2021,4,4,Sunday,2021,4,6,Tuesday,2246,783,91,2,182,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26 days,2021,3,6,Saturday,2021,4,1,Thursday,3324,525,98,2,196,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26 days,2021,3,6,Saturday,2021,4,1,Thursday,3325,792,91,2,182,Jacket,Pullover,M,blue,114,44,"A blue coloured, M sized, Pullover Jacket"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26 days,2021,3,6,Saturday,2021,4,1,Thursday,3326,179,98,1,98,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26 days,2021,3,6,Saturday,2021,4,1,Thursday,3327,789,91,3,273,Jacket,Pullover,XL,green,114,65,"A green coloured, XL sized, Pullover Jacket"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,729,35593,2021-02-18,2021-03-01,11 days,2021,2,18,Thursday,2021,3,1,Monday,3639,197,98,3,294,Shirt,Camp Collared,M,blue,112,65,"A blue coloured, M sized, Camp Collared Shirt"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,729,35593,2021-02-18,2021-03-01,11 days,2021,2,18,Thursday,2021,3,1,Monday,3640,558,98,1,98,Jacket,Leather,L,violet,113,78,"A violet coloured, L sized, Leather Jacket"
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2 days,2021,5,21,Friday,2021,5,23,Sunday,2292,1118,115,3,345,Trousers,Cropped,L,violet,99,40,"A violet coloured, L sized, Cropped Trousers"
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2 days,2021,5,21,Friday,2021,5,23,Sunday,2293,1259,112,2,224,Trousers,Tracksuit Bottoms,XL,violet,91,60,"A violet coloured, XL sized, Tracksuit Bottoms Trousers"
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2 days,2021,5,21,Friday,2021,5,23,Sunday,2294,811,117,1,117,Jacket,Shearling,S,orange,95,53,"A orange coloured, S sized, Shearling Jacket"
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2 days,2021,5,21,Friday,2021,5,23,Sunday,2295,408,119,1,119,Shirt,Casual Slim Fit,L,blue,113,75,"A blue coloured, L sized, Casual Slim Fit Shirt"
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2 days,2021,5,21,Friday,2021,5,23,Sunday,2296,1010,106,2,212,Trousers,Wool,XS,violet,111,80,"A violet coloured, XS sized, Wool Trousers"
